source,old_path,new_url,wiki_page
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/index.md,/api-generation-and-connections/api-types/file,https://wiki.dreamfactory.com/wiki/File,File
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/generating-database-backed-api.md,/api-generation-and-connections/api-types/database/generating-database-backed-api,https://wiki.dreamfactory.com/wiki/Generating_Database_Backed_Api,Generating_Database_Backed_Api
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/sql-server.md,/api-generation-and-connections/api-types/database/sql-server,https://wiki.dreamfactory.com/wiki/Sql_Server,Sql_Server
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/querying-filtering.md,/api-generation-and-connections/api-types/database/querying-filtering,https://wiki.dreamfactory.com/wiki/Querying_Filtering,Querying_Filtering
df-docs/df-docs/docs/api-generation-and-connections/api-types/network/placeholder.md,/api-generation-and-connections/api-types/network/placeholder,https://wiki.dreamfactory.com/wiki/Placeholder,Placeholder
df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripted-services-and-endpoints.md,/api-generation-and-connections/api-types/scripting/scripted-services-and-endpoints,https://wiki.dreamfactory.com/wiki/Scripted_Services_And_Endpoints,Scripted_Services_And_Endpoints
df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripting-resources.md,/api-generation-and-connections/api-types/scripting/scripting-resources,https://wiki.dreamfactory.com/wiki/Scripting_Resources,Scripting_Resources
df-docs/df-docs/docs/api-generation-and-connections/api-types/utility/placeholder.md,/api-generation-and-connections/api-types/utility/placeholder,https://wiki.dreamfactory.com/wiki/Placeholder,Placeholder
df-docs/df-docs/docs/admin-settings/users.md,/admin-settings/users,https://wiki.dreamfactory.com/wiki/Admin_Settings/Users,Admin_Settings/Users
df-docs/df-docs/docs/admin-settings/logs.md,/admin-settings/logs,https://wiki.dreamfactory.com/wiki/Admin_Settings/Logs,Admin_Settings/Logs
df-docs/df-docs/docs/admin-settings/schema.md,/admin-settings/schema,https://wiki.dreamfactory.com/wiki/Admin_Settings/Schema,Admin_Settings/Schema
df-docs/df-docs/docs/admin-settings/files.md,/admin-settings/files,https://wiki.dreamfactory.com/wiki/Admin_Settings/Files,Admin_Settings/Files
df-docs/df-docs/docs/admin-settings/admins.md,/admin-settings/admins,https://wiki.dreamfactory.com/wiki/Admin_Settings/Admins,Admin_Settings/Admins
df-docs/df-docs/docs/AI/mcp-service-creation.md,/AI/mcp-service-creation,https://wiki.dreamfactory.com/wiki/AI_Services/Mcp_Service_Creation,AI_Services/Mcp_Service_Creation
df-docs/df-docs/docs/AI/mcp-service.md,/AI/mcp-service,https://wiki.dreamfactory.com/wiki/AI_Services/Mcp_Service,AI_Services/Mcp_Service
df-docs/df-docs/docs/AI/mcp-custom-login-page.md,/AI/mcp-custom-login-page,https://wiki.dreamfactory.com/wiki/AI_Services/Mcp_Custom_Login_Page,AI_Services/Mcp_Custom_Login_Page
df-docs/df-docs/docs/upgrades-and-migrations/upgrades.md,/upgrades-and-migrations/upgrades,https://wiki.dreamfactory.com/wiki/Upgrades,Upgrades
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-php-windows.md,/upgrades-and-migrations/upgrading-php-windows,https://wiki.dreamfactory.com/wiki/Upgrading_Php_Windows,Upgrading_Php_Windows
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-migrating-dreamfactory.md,/upgrades-and-migrations/upgrading-migrating-dreamfactory,https://wiki.dreamfactory.com/wiki/Upgrading_Migrating_Dreamfactory,Upgrading_Migrating_Dreamfactory
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-to-php-8_1.md,/upgrades-and-migrations/upgrading-to-php-8-1,https://wiki.dreamfactory.com/wiki/Upgrading_To_Php_8_1,Upgrading_To_Php_8_1
guide/dreamfactory-book-v2/content/en/docs/Using Remote HTTP and SOAP Connectors/_index.md,/docs/using-remote-http-and-soap-connectors,https://wiki.dreamfactory.com/wiki/Using_remote_http_and_soap_connectors,Using remote http and soap connectors
guide/dreamfactory-book-v2/content/en/docs/Integrating Salesforce Data/_index.md,/docs/integrating-salesforce-data,https://wiki.dreamfactory.com/wiki/Integrating_salesforce_data,Integrating salesforce data
guide/dreamfactory-book-v2/content/en/docs/Demo DreamFactory Applications/_index.md,/docs/demo-dreamfactory-applications,https://wiki.dreamfactory.com/wiki/Demo_dreamfactory_applications,Demo dreamfactory applications
guide/dreamfactory-book-v2/content/en/docs/Appendices/A Configuration Parameter Reference/_index.md,/docs/appendices/a-configuration-parameter-reference,https://wiki.dreamfactory.com/wiki/Reference/A_configuration_parameter_reference,Reference/A configuration parameter reference
guide/dreamfactory-book-v2/content/en/docs/Appendices/D Architecture FAQ/_index.md,/docs/appendices/d-architecture-faq,https://wiki.dreamfactory.com/wiki/Reference/D_architecture_faq,Reference/D architecture faq
guide/dreamfactory-book-v2/content/en/docs/Appendices/C Leveraging an API Gateway for GDPR Readiness/_index.md,/docs/appendices/c-leveraging-an-api-gateway-for-gdpr-readiness,https://wiki.dreamfactory.com/wiki/Reference/C_leveraging_an_api_gateway_for_gdpr_readiness,Reference/C leveraging an api gateway for gdpr readiness
guide/dreamfactory-book-v2/content/en/docs/Appendices/E Scalability/_index.md,/docs/appendices/e-scalability,https://wiki.dreamfactory.com/wiki/Reference/E_scalability,Reference/E scalability
guide/dreamfactory-book-v2/content/en/docs/_index.md,/docs/_index,https://wiki.dreamfactory.com/wiki/Docs,Docs
guide/dreamfactory-book-v2/content/en/docs/Migrating Your System Database to a New Instance/_index.md,/docs/migrating-your-system-database-to-a-new-instance,https://wiki.dreamfactory.com/wiki/Migrating_your_system_database_to_a_new_instance,Migrating your system database to a new instance
guide/dreamfactory-book-v2/content/en/docs/Advanced Database API Features/_index.md,/docs/advanced-database-api-features,https://wiki.dreamfactory.com/wiki/Advanced_database_api_features,Advanced database api features
guide/dreamfactory-book-v2/content/en/docs/Modifying the Service Definition/_index.md,/docs/modifying-the-service-definition,https://wiki.dreamfactory.com/wiki/Modifying_the_service_definition,Modifying the service definition
guide/dreamfactory-book-v2/content/en/docs/Using the System APIs/_index.md,/docs/using-the-system-apis,https://wiki.dreamfactory.com/wiki/Using_the_system_apis,Using the system apis
guide/dreamfactory-book-v2/content/en/docs/Introducing REST and DreamFactory/_index.md,/docs/introducing-rest-and-dreamfactory,https://wiki.dreamfactory.com/wiki/Introducing_rest_and_dreamfactory,Introducing rest and dreamfactory
guide/dreamfactory-book-v2/content/en/docs/Authenticating Your APIs/_index.md,/docs/authenticating-your-apis,https://wiki.dreamfactory.com/wiki/Authenticating_your_apis,Authenticating your apis
guide/dreamfactory-book-v2/content/en/docs/Appendices/_index.md,/docs/appendices,https://wiki.dreamfactory.com/wiki/Reference/Appendices,Reference/Appendices
guide/dreamfactory-book-v2/content/en/docs/Installing and Configuring DreamFactory/_index.md,/docs/installing-and-configuring-dreamfactory,https://wiki.dreamfactory.com/wiki/Getting_Started/Installing_and_configuring_dreamfactory,Getting_Started/Installing and configuring dreamfactory
guide/dreamfactory-book-v2/content/en/docs/Creating Scripted Services and Endpoints/_index.md,/docs/creating-scripted-services-and-endpoints,https://wiki.dreamfactory.com/wiki/Creating_scripted_services_and_endpoints,Creating scripted services and endpoints
guide/dreamfactory-book-v2/content/en/docs/Integrating Business Logic Into Your APIs/_index.md,/docs/integrating-business-logic-into-your-apis,https://wiki.dreamfactory.com/wiki/Integrating_business_logic_into_your_apis,Integrating business logic into your apis
guide/dreamfactory-book-v2/content/en/docs/Limiting and Logging API Requests/_index.md,/docs/limiting-and-logging-api-requests,https://wiki.dreamfactory.com/wiki/Limiting_and_logging_api_requests,Limiting and logging api requests
guide/dreamfactory-book-v2/content/en/docs/Creating File System APIs/_index.md,/docs/creating-file-system-apis,https://wiki.dreamfactory.com/wiki/Creating_file_system_apis,Creating file system apis
guide/dreamfactory-book-v2/content/en/docs/Upgrade to PHP 8.1/_index.md,/docs/upgrade-to-php-8.1,https://wiki.dreamfactory.com/wiki/Upgrade_to_php_8.1,Upgrade to php 8.1
guide/dreamfactory-book-v2/content/en/docs/Integrating with Version Control APIs/_index.md,/docs/integrating-with-version-control-apis,https://wiki.dreamfactory.com/wiki/Integrating_with_version_control_apis,Integrating with version control apis
guide/dreamfactory-book-v2/content/en/docs/Installing DreamFactory on Raspberry Pi/_index.md,/docs/installing-dreamfactory-on-raspberry-pi,https://wiki.dreamfactory.com/wiki/Installing_dreamfactory_on_raspberry_pi,Installing dreamfactory on raspberry pi
guide/dreamfactory-book-v2/content/en/docs/Generating a Database-backed API/_index.md,/docs/generating-a-database-backed-api,https://wiki.dreamfactory.com/wiki/Generating_a_database_Backed_api,Generating a database_Backed api
guide/dreamfactory-book-v2/content/en/docs/Performance Considerations/_index.md,/docs/performance-considerations,https://wiki.dreamfactory.com/wiki/Performance_considerations,Performance considerations
guide/dreamfactory-book-v2/content/en/docs/Securing Your DreamFactory Environment/_index.md,/docs/securing-your-dreamfactory-environment,https://wiki.dreamfactory.com/wiki/Securing_your_dreamfactory_environment,Securing your dreamfactory environment
guide/dreamfactory-book-v2/content/en/docs/Appendices/B Security FAQ/_index.md,/docs/appendices/b-security-faq,https://wiki.dreamfactory.com/wiki/Reference/B_security_faq,Reference/B security faq
guide/dreamfactory-book-v2/content/en/docs/Installing and Configuring DreamFactory/A Installing DreamFactory on Windows Server/_index.md,/docs/installing-and-configuring-dreamfactory/a-installing-dreamfactory-on-windows-server,https://wiki.dreamfactory.com/wiki/Getting_Started/A_installing_dreamfactory_on_windows_server,Getting_Started/A installing dreamfactory on windows server
